               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029229,           0.0061757,          0.00086711,             0.91112,             0.81402,             0.83968,             0.52394,            0.025872,            0.003307,           0.0005709,            0.007756,            0.007756,            0.007756
                  36,            0.028662,           0.0059325,          0.00088245,             0.98324,             0.76985,             0.83491,             0.53995,            0.026173,           0.0033084,          0.00057636,             0.00769,             0.00769,             0.00769
                  37,            0.029527,           0.0057918,          0.00088085,             0.98109,             0.77881,             0.82977,             0.50696,            0.024034,           0.0033331,            0.000547,            0.007624,            0.007624,            0.007624
                  38,            0.028672,            0.006143,          0.00079424,             0.98417,             0.75191,             0.79412,             0.50073,            0.024361,           0.0032885,          0.00051615,            0.007558,            0.007558,            0.007558
                  39,            0.028621,           0.0057922,          0.00074152,             0.90118,             0.86882,             0.86329,             0.54102,            0.024602,           0.0034027,          0.00061541,            0.007492,            0.007492,            0.007492
                  40,            0.028203,           0.0059065,          0.00080783,             0.93483,             0.79484,             0.82827,             0.52852,            0.026419,           0.0033015,          0.00056651,            0.007426,            0.007426,            0.007426
                  41,            0.028844,            0.005749,          0.00093004,             0.90553,             0.79402,             0.83245,             0.55732,            0.024009,           0.0031791,           0.0005434,             0.00736,             0.00736,             0.00736
                  42,            0.027506,           0.0054311,           0.0006759,             0.99485,             0.77381,             0.82187,             0.55864,            0.023603,           0.0031958,          0.00052581,            0.007294,            0.007294,            0.007294
                  43,            0.027333,           0.0057834,          0.00083583,             0.97382,             0.78645,             0.83332,             0.53001,            0.023858,           0.0032817,          0.00048384,            0.007228,            0.007228,            0.007228
                  44,            0.027953,           0.0060533,          0.00070034,             0.91108,             0.81696,              0.8482,             0.54275,            0.024247,           0.0032768,          0.00056087,            0.007162,            0.007162,            0.007162
                  45,            0.026958,           0.0056603,          0.00092263,             0.97889,             0.79402,             0.87178,              0.5491,             0.02379,           0.0031204,          0.00069605,            0.007096,            0.007096,            0.007096
                  46,            0.026817,           0.0056406,          0.00066443,             0.92737,             0.81801,             0.84053,             0.54285,            0.022689,           0.0031279,          0.00060474,             0.00703,             0.00703,             0.00703
                  47,            0.026337,           0.0056803,           0.0010084,              0.9437,             0.81801,             0.85879,             0.55886,            0.022136,           0.0031683,          0.00049989,            0.006964,            0.006964,            0.006964
                  48,            0.026812,           0.0055654,          0.00092526,             0.90684,             0.81602,              0.8664,             0.54792,            0.023219,            0.003323,          0.00058531,            0.006898,            0.006898,            0.006898
                  49,            0.025844,           0.0056213,          0.00075986,             0.96222,              0.7937,             0.85093,             0.54551,            0.022591,           0.0031286,          0.00060744,            0.006832,            0.006832,            0.006832
                  50,            0.026564,           0.0056973,          0.00057332,             0.97593,             0.76811,               0.836,             0.55129,            0.022844,           0.0030891,          0.00053458,            0.006766,            0.006766,            0.006766
                  51,            0.024874,           0.0055578,          0.00078699,             0.88968,             0.85474,             0.87637,              0.5765,            0.022365,           0.0030506,          0.00056119,              0.0067,              0.0067,              0.0067
                  52,            0.025937,           0.0057548,          0.00077884,             0.88442,              0.8355,             0.87002,             0.56298,             0.02247,           0.0031055,          0.00051721,            0.006634,            0.006634,            0.006634
                  53,            0.024994,           0.0054489,          0.00080499,             0.89417,             0.83586,             0.85328,              0.5552,            0.022401,           0.0031153,          0.00046123,            0.006568,            0.006568,            0.006568
